day,well_role,injection_flow,extraction_flow,ph,dissolved_oxygen,uranium_assay,synthetic_record
0,central_extraction,0.000000,4.749048,6.654252,2.372783,1.379626,True
0,injector_1,1.085519,0.000000,6.720928,2.437277,1.397293,True
0,injector_2,1.271611,0.000000,6.764130,2.391063,1.439749,True
0,injector_3,1.252519,0.000000,6.657559,2.282618,1.304716,True
0,injector_4,1.213621,0.000000,6.583002,2.269675,1.368095,True
1,central_extraction,0.000000,4.736269,6.657161,2.477125,,True
1,injector_1,1.242722,0.000000,6.726313,2.428584,,True
1,injector_2,1.247685,0.000000,6.753267,2.319451,1.464079,True
1,injector_3,1.299896,0.000000,6.631505,2.328507,,True
1,injector_4,1.184878,0.000000,6.539850,2.187460,,True
2,central_extraction,0.000000,4.713556,6.658100,2.452444,,True
2,injector_1,1.220190,0.000000,6.727622,2.456766,,True
2,injector_2,1.325016,0.000000,6.756455,2.380957,,True
2,injector_3,1.291676,0.000000,6.661681,2.237081,1.373770,True
2,injector_4,1.290819,0.000000,6.618682,2.225850,,True
3,central_extraction,0.000000,4.740131,6.681661,2.449548,1.408894,True
3,injector_1,1.182953,0.000000,6.754177,2.455971,1.397357,True
3,injector_2,1.278347,0.000000,6.743914,2.286542,,True
3,injector_3,1.335826,0.000000,6.655644,2.305002,,True
3,injector_4,1.255931,0.000000,6.598056,2.184231,1.318706,True
4,central_extraction,0.000000,4.954085,6.691952,2.391227,,True
4,injector_1,1.185067,0.000000,6.737902,2.382449,,True
4,injector_2,1.301189,0.000000,6.750284,2.366809,1.437665,True
4,injector_3,1.305219,0.000000,6.683215,2.295973,,True
4,injector_4,1.243358,0.000000,6.647263,2.195867,,True
5,central_extraction,0.000000,4.975146,6.664775,2.418186,,True
5,injector_1,1.239262,0.000000,6.762563,2.375578,,True
5,injector_2,1.356434,0.000000,6.736815,2.316586,,True
5,injector_3,1.358043,0.000000,6.618068,2.262545,1.396314,True
5,injector_4,1.245243,0.000000,6.604334,2.213176,,True
6,central_extraction,0.000000,5.021396,6.669101,2.365789,1.324913,True
6,injector_1,1.128163,0.000000,6.778325,2.356030,1.324083,True
6,injector_2,1.341904,0.000000,6.739311,2.328538,,True
6,injector_3,1.291802,0.000000,6.650597,2.303337,,True
6,injector_4,1.151849,0.000000,6.571008,2.193375,1.247934,True
7,central_extraction,0.000000,4.889092,6.655224,2.450889,,True
7,injector_1,1.130632,0.000000,6.711315,2.377469,,True
7,injector_2,1.313940,0.000000,6.687663,2.388681,1.406633,True
7,injector_3,1.279264,0.000000,6.620221,2.253486,,True
7,injector_4,1.243442,0.000000,6.540665,2.236495,,True
8,central_extraction,0.000000,5.046871,6.689158,2.426707,,True
8,injector_1,1.163323,0.000000,6.734741,2.400594,,True
8,injector_2,1.304306,0.000000,6.750175,2.331193,,True
8,injector_3,1.266135,0.000000,6.686519,2.233637,1.307264,True
8,injector_4,1.222623,0.000000,6.577001,2.178395,,True
9,central_extraction,0.000000,4.793794,6.707741,2.427599,1.354671,True
9,injector_1,1.214373,0.000000,6.739593,2.390500,1.409571,True
9,injector_2,1.296631,0.000000,6.718113,2.333489,,True
9,injector_3,1.307507,0.000000,6.594936,2.181181,,True
9,injector_4,1.159894,0.000000,6.576902,2.212384,1.282456,True
10,central_extraction,0.000000,4.858713,6.653358,2.433881,,True
10,injector_1,1.251149,0.000000,6.777711,2.426240,,True
10,injector_2,1.283041,0.000000,6.759182,2.251565,1.309525,True
10,injector_3,1.301375,0.000000,6.670827,2.272526,,True
10,injector_4,1.209097,0.000000,6.549419,2.145355,,True
11,central_extraction,0.000000,4.876514,6.708830,2.363486,,True
11,injector_1,1.226923,0.000000,6.746347,2.458467,,True
11,injector_2,1.317424,0.000000,6.702859,2.315453,,True
11,injector_3,1.288959,0.000000,6.619993,2.165471,1.323790,True
11,injector_4,1.199717,0.000000,6.553418,2.162136,,True
12,central_extraction,0.000000,4.897978,6.655191,2.392124,1.342665,True
12,injector_1,1.275799,0.000000,6.796447,2.444336,1.425914,True
12,injector_2,1.227661,0.000000,6.713960,2.293787,,True
12,injector_3,1.247846,0.000000,6.602278,2.232958,,True
12,injector_4,1.208672,0.000000,6.528757,2.084097,1.351556,True
13,central_extraction,0.000000,5.001621,6.731978,2.431285,,True
13,injector_1,1.285020,0.000000,6.696925,2.409439,,True
13,injector_2,1.306564,0.000000,6.703820,2.292469,1.398062,True
13,injector_3,1.217228,0.000000,6.634331,2.198965,,True
13,injector_4,1.208971,0.000000,6.513662,2.165331,,True
14,central_extraction,0.000000,4.904864,6.655555,2.441772,,True
14,injector_1,1.267166,0.000000,6.764413,2.335911,,True
14,injector_2,1.296630,0.000000,6.706947,2.221208,,True
14,injector_3,1.267913,0.000000,6.572320,2.220351,,True
14,injector_4,1.221429,0.000000,6.580215,2.164514,,True
15,central_extraction,0.000000,4.803409,6.702751,2.387738,1.423441,True
15,injector_1,1.290584,0.000000,6.744748,2.316289,1.439638,True
15,injector_2,1.296701,0.000000,6.722080,2.290804,,True
15,injector_3,1.306288,0.000000,6.619099,2.252554,,True
15,injector_4,1.216383,0.000000,6.565878,2.113194,1.337528,True
16,central_extraction,0.000000,5.014356,6.669122,2.391554,,True
16,injector_1,1.282523,0.000000,6.753534,2.338217,,True
16,injector_2,1.318492,0.000000,6.688735,2.175508,1.484812,True
16,injector_3,1.271242,0.000000,6.610237,2.192614,,True
16,injector_4,1.138102,0.000000,6.571536,2.067701,,True
17,central_extraction,0.000000,5.036422,6.703950,2.369227,,True
17,injector_1,1.255176,0.000000,6.788231,2.326407,,True
17,injector_2,1.231779,0.000000,6.700154,2.263597,,True
17,injector_3,1.291336,0.000000,6.597945,2.164916,1.402246,True
17,injector_4,1.098902,0.000000,6.558758,2.123624,,True
18,central_extraction,0.000000,5.021131,6.705501,2.342858,1.451283,True
18,injector_1,1.241688,0.000000,6.744242,2.301233,1.502649,True
18,injector_2,1.307143,0.000000,6.650250,2.227623,,True
18,injector_3,1.191439,0.000000,6.647408,2.119485,,True
