alpha,beta,sd_m,mean_normalized_incoming_weight,RMSE,MAE,R2,MASE
0.0,0.0,60.0,0.4520595967769623,0.39301241865265524,0.33133599162101746,-1.6803722381591797,0.985661190790749
0.0,0.0,120.0,0.6858355402946472,0.41290149223296346,0.3505489230155945,-1.958526372909546,1.042815986272854
0.0,0.0,240.0,0.7625804543495178,0.43995793488304397,0.3786916434764862,-2.3589603900909424,1.126535195966505
0.0,0.25,60.0,0.48136627674102783,0.392868390170018,0.3313232958316803,-1.678408145904541,0.9856234232461641
0.0,0.25,120.0,0.7106420993804932,0.41357043556185463,0.35113975405693054,-1.9681205749511719,1.0445735955953739
0.0,0.25,240.0,0.7832423448562622,0.44104084993568204,0.3799974024295807,-2.375516176223755,1.1304195790614298
0.0,0.5,60.0,0.5076970458030701,0.3927911209078914,0.33134642243385315,-1.6773545742034912,0.9856922204635299
0.0,0.5,120.0,0.7318176031112671,0.41415566170090173,0.35166916251182556,-1.9765264987945557,1.046148484473318
0.0,0.5,240.0,0.8005959391593933,0.4419469644199065,0.3811317980289459,-2.3894004821777344,1.1337941889606677
0.3,0.0,60.0,0.48720070719718933,0.3931071384720654,0.3314017355442047,-1.681664228439331,0.9858567663854768
0.3,0.0,120.0,0.7154826521873474,0.4140327730843994,0.3512023389339447,-1.9747605323791504,1.0447597736320595
0.3,0.0,240.0,0.787347674369812,0.44198233222172445,0.3808363378047943,-2.3899428844451904,1.132915251315096
0.3,0.25,60.0,0.5166372656822205,0.39304231368443354,0.33142635226249695,-1.6807801723480225,0.9859299964132398
0.3,0.25,120.0,0.7388392686843872,0.4146810805363586,0.35180822014808655,-1.984083652496338,1.0465621543395918
0.3,0.25,240.0,0.8064010143280029,0.44297478081367136,0.382066547870636,-2.405183792114258,1.1365748909228788
0.3,0.5,60.0,0.5428775548934937,0.3930359633130443,0.33148249983787537,-1.6806933879852295,0.9860970247090092
0.3,0.5,120.0,0.7586522698402405,0.4152430851938784,0.3523271083831787,-1.9921777248382568,1.048105747576131
0.3,0.5,240.0,0.8223206996917725,0.4438004169567878,0.3830845057964325,-2.41788911819458,1.1396031210176736
0.6,0.0,60.0,0.518097460269928,0.3932350318252341,0.3314666450023651,-1.6834094524383545,0.9860498596063821
0.6,0.0,120.0,0.7400045990943909,0.4149430825946332,0.3517904281616211,-1.9878556728363037,1.0465092265834484
0.6,0.0,240.0,0.8074175119400024,0.4435262324059387,0.38249900937080383,-2.4136674404144287,1.137861381156376
0.6,0.25,60.0,0.547407329082489,0.39323707808394903,0.33152320981025696,-1.6834375858306885,0.9862181290890627
0.6,0.25,120.0,0.7620171308517456,0.4155675238829017,0.3523804545402527,-1.9968552589416504,1.0482644421883536
0.6,0.25,240.0,0.8250717520713806,0.4444389475376555,0.3836172819137573,-2.427731513977051,1.1411880280471156
0.6,0.5,60.0,0.5733562111854553,0.3932885342007879,0.3316067159175873,-1.6841399669647217,0.986466543783726
0.6,0.5,120.0,0.7805933952331543,0.4161049473824789,0.35291045904159546,-2.0046114921569824,1.0498411041904565
0.6,0.5,240.0,0.8397608399391174,0.44519499851452377,0.38453930616378784,-2.4394032955169678,1.1439308738085339
0.9,0.0,60.0,0.5454768538475037,0.39338453225658826,0.3315344452857971,-1.6854503154754639,0.9862515524794582
0.9,0.0,120.0,0.7606272101402283,0.4156951744668531,0.3523046374320984,-1.9986965656280518,1.0480389007953401
0.9,0.0,240.0,0.8240159153938293,0.4447459749819119,0.38380351662635803,-2.432468891143799,1.141742040690567
0.9,0.25,60.0,0.5744885802268982,0.3934427106783429,0.33161863684654236,-1.6862447261810303,0.9865020062669042
0.9,0.25,120.0,0.7814092636108398,0.41629504280845453,0.3529065251350403,-2.007357358932495,1.0498294015710077
0.9,0.25,240.0,0.8404483795166016,0.4455894980660802,0.384828120470047,-2.4455015659332275,1.1447900411197338
0.9,0.5,60.0,0.6000185608863831,0.39354132163398015,0.33172500133514404,-1.687591552734375,0.9868184202730618
0.9,0.5,120.0,0.7988709807395935,0.4168082552985582,0.35348188877105713,-2.0147769451141357,1.0515409983216037
0.9,0.5,240.0,0.8540743589401245,0.44628585714111496,0.3856705129146576,-2.4562792778015137,1.1472959974935215
