Diagnostic,Nominal,Empirical_count,Empirical_percent,n,evidence_level
Predictive quantile,0.05,3/38,7.9,38,aggregate manuscript transcription
Predictive quantile,0.10,5/38,13.2,38,aggregate manuscript transcription
Predictive quantile,0.25,9/38,23.7,38,aggregate manuscript transcription
Predictive quantile,0.50,19/38,50.0,38,aggregate manuscript transcription
Predictive quantile,0.75,28/38,73.7,38,aggregate manuscript transcription
Predictive quantile,0.90,34/38,89.5,38,aggregate manuscript transcription
Predictive quantile,0.95,37/38,97.4,38,aggregate manuscript transcription
Central interval,50%,19/38,50.0,38,aggregate manuscript transcription
Central interval,70%,24/38,63.2,38,aggregate manuscript transcription
Central interval,80%,29/38,76.3,38,aggregate manuscript transcription
Central interval,90%,34/38,89.5,38,aggregate manuscript transcription
Central interval,95%,38/38,100.0,38,aggregate manuscript transcription
