model,metric,value,n,unit,evidence_class,note
PG-SSM,RMSE,0.2284,73,mg/L,aggregate_manuscript_result,Locked full model
PG-SSM,MAE,0.1712,73,mg/L,aggregate_manuscript_result,Locked full model
PG-SSM,R2,0.2275,73,dimensionless,aggregate_manuscript_result,Locked full model
PG-SSM,MASE,0.5093,73,dimensionless,aggregate_manuscript_result,Locked full model
PG-SSM,CRPS,0.1732,73,mg/L,aggregate_manuscript_result,Gaussian endpoint score
PG-SSM,NLL,0.4381,73,nats,aggregate_manuscript_result,Gaussian endpoint score
PG-SSM,PI90_coverage,0.890,73,fraction,aggregate_manuscript_result,65/73
PG-SSM,PI90_hits,65,73,count,aggregate_manuscript_result,Nominal 90 percent interval
PG-SSM,PI90_width,1.1824,73,mg/L,aggregate_manuscript_result,Mean interval width
PG-SSM,Winkler90,1.4237,73,mg/L,aggregate_manuscript_result,Interval score
Persistence,RMSE,0.2588,73,mg/L,aggregate_manuscript_result,Primary matched no-change point-forecast control
Persistence,MAE,0.1960,73,mg/L,aggregate_manuscript_result,Primary matched no-change point-forecast control
Persistence,R2,-0.1622,73,dimensionless,aggregate_manuscript_result,Primary matched no-change point-forecast control
Persistence,MASE,0.5831,73,dimensionless,aggregate_manuscript_result,Primary matched no-change point-forecast control
