item,value,unit,evidence_class,note
sigma_d_grid,"60 / 120 / 240",m,aggregate_manuscript_result,Inference-stage grid only
alpha_grid,"0.0 / 0.3 / 0.6 / 0.9",dimensionless,aggregate_manuscript_result,Inference-stage grid only
beta_grid,"0.0 / 0.25 / 0.5",dimensionless,aggregate_manuscript_result,Inference-stage grid only
locked_sigma_d,120,m,aggregate_manuscript_result,Locked configuration
locked_alpha,0.60,dimensionless,aggregate_manuscript_result,Locked configuration
locked_beta,0.25,dimensionless,aggregate_manuscript_result,Locked configuration
locked_RMSE,0.2284,mg/L,aggregate_manuscript_result,Locked full model
verified_RMSE_min,0.2214,mg/L,aggregate_manuscript_result,Post-fit inference-stage range
verified_RMSE_max,0.2768,mg/L,aggregate_manuscript_result,Post-fit inference-stage range
analysis_type,post-fit inference-stage sensitivity,NA,aggregate_manuscript_result,Not full retraining; not hydraulic calibration
